Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,"Days to 
Deliver","Delivery 
Company","Price per 
Unit",Units Sold,Total Sales,Operating Profit,Operating Margin
Walmart,1185732,1/14/2022,Northeast,New York,New York,Coca-Cola,25,UPS,$0.50 ,"12,000","$6,000 ","$3,000 ",0.50
Walmart,1185732,1/14/2022,Northeast,New York,New York,Diet Coke,34,UPS,$0.50 ,"10,000","$5,000 ","$1,500 ",0.30
Walmart,1185732,1/14/2022,Northeast,New York,New York,Sprite,48,UPS,$0.40 ,"10,000","$4,000 ","$1,400 ",0.35
Walmart,1185732,1/14/2022,Northeast,New York,New York,Fanta,20,UPS,$0.45 ,"8,500","$3,825 ","$1,339 ",0.35
Walmart,1185732,1/14/2022,Northeast,New York,New York,Powerade,26,UPS,$0.60 ,"9,000","$5,400 ","$1,620 ",0.30
Walmart,1185732,1/14/2022,Northeast,New York,New York,Dasani Water,43,UPS,$0.50 ,"10,000","$5,000 ","$1,250 ",0.25
Walmart,1185732,2/12/2022,Northeast,New York,New York,Coca-Cola,19,UPS,$0.50 ,"12,500","$6,250 ","$3,125 ",0.50
Walmart,1185732,2/12/2022,Northeast,New York,New York,Diet Coke,41,UPS,$0.50 ,"9,000","$4,500 ","$1,350 ",0.30
Walmart,1185732,2/12/2022,Northeast,New York,New York,Sprite,34,UPS,$0.40 ,"9,500","$3,800 ","$1,330 ",0.35
Walmart,1185732,2/12/2022,Northeast,New York,New York,Fanta,42,UPS,$0.45 ,"8,250","$3,713 ","$1,299 ",0.35
Walmart,1185732,2/12/2022,Northeast,New York,New York,Powerade,37,UPS,$0.60 ,"9,000","$5,400 ","$1,620 ",0.30
Walmart,1185732,2/12/2022,Northeast,New York,New York,Dasani Water,59,UPS,$0.50 ,"10,000","$5,000 ","$1,250 ",0.25
Walmart,1185732,3/10/2022,Northeast,New York,New York,Coca-Cola,27,UPS,$0.50 ,"12,200","$6,100 ","$3,050 ",0.50
Walmart,1185732,3/10/2022,Northeast,New York,New York,Diet Coke,44,UPS,$0.50 ,"9,250","$4,625 ","$1,388 ",0.30
Walmart,1185732,3/10/2022,Northeast,New York,New York,Sprite,44,UPS,$0.40 ,"9,500","$3,800 ","$1,330 ",0.35
Walmart,1185732,3/10/2022,Northeast,New York,New York,Fanta,36,UPS,$0.45 ,"8,000","$3,600 ","$1,260 ",0.35
Walmart,1185732,3/10/2022,Northeast,New York,New York,Powerade,37,UPS,$0.60 ,"8,500","$5,100 ","$1,530 ",0.30
Walmart,1185732,3/10/2022,Northeast,New York,New York,Dasani Water,46,UPS,$0.50 ,"9,500","$4,750 ","$1,188 ",0.25
Walmart,1185732,4/11/2022,Northeast,New York,New York,Coca-Cola,56,UPS,$0.50 ,"12,000","$6,000 ","$3,000 ",0.50
